time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW DRESDEN NOSSENER BRUECKE
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW DRESDEN NOSSENER BRUECKE
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,GUD MUENSTER HAFEN
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,GUD MUENSTER HAFEN
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW DUISBURG WANHEIM IIIB
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW DUISBURG WANHEIM IIIB
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW DUISBURG HUCKINGEN BLOCK A
2019-01-01 01:00:00,,27300,0,303,germany_mc_base_case_2019,,,KW DUISBURG HUCKINGEN BLOCK A
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW DUISBURG HUCKINGEN BLOCK B
2019-01-01 01:00:00,,27300,0,303,germany_mc_base_case_2019,,,KW DUISBURG HUCKINGEN BLOCK B
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW DUISBURG WANHEIM IIIA
2019-01-01 01:00:00,,3632.1,0,40,germany_mc_base_case_2019,,,HKW DUISBURG WANHEIM IIIA
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,GUD ROSTOCK MARIENEHE
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,GUD ROSTOCK MARIENEHE
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW POTSDAM SUED
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW POTSDAM SUED
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN MITTE
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN MITTE
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN SUED
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN SUED
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN NORD
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,KW BASF LUDWIGSHAFEN NORD
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HOECHST 3
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,HOECHST 3
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW ELTMANN
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,HKW ELTMANN
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,MAINZ III
2019-01-01 01:00:00,,0,0,0,germany_mc_base_case_2019,,,MAINZ III
2019-01-01 00:00:00,,0,0,0,germany_mc_base_case_2019,,,KW MAINZ II GT
